tool	concept	weight	top_files
mne-python	EEG preprocessing	5311	mne-python/references/tutorials/index.md, mne-python/references/tutorials/fnirs-check-bads/fnirs-check-bads.md, mne-python/references/tutorials/ica-ctf/ica-ctf.md
pymc	Bayesian modeling	4183	pymc/references/documentation/other/developer_guide.md, pymc/references/documentation/overview/README.rst, pymc/references/documentation/overview/GOVERNANCE.md
bids-specification	BIDS	3772	bids-specification/references/documentation/overview/README.md, bids-specification/references/documentation/other/common-principles.md, bids-specification/references/documentation/specifications/magnetic-resonance-imaging-data.md
jspsych	browser experiment	3739	jspsych/references/documentation/guides/rt-task.md, jspsych/references/documentation/guides/hello-world.md, jspsych/references/documentation/api/jspsych.md
snakemake	workflow management	3039	snakemake/references/documentation/other/rules.rst, snakemake/references/documentation/other/deployment.rst, snakemake/references/documentation/guides/basics.rst
mne-python	epoching	3038	mne-python/references/tutorials/index.md, mne-python/references/tutorials/own-data/own-data.md, mne-python/references/tutorials/continuous-regression-no-overlap/continuous-regression-no-overlap.md
nipype	workflow management	2399	nipype/references/documentation/other/interfaces.rst, nipype/references/documentation/overview/README.rst, nipype/references/documentation/other/interface_specs.rst
mne-python	reproducibility	2279	mne-python/references/documentation/other/contributing.rst, mne-python/references/tutorials/incomplete-file-suite/incomplete-file-suite.md, mne-python/references/documentation/other/advanced.rst
mne-python	workflow management	2104	mne-python/SKILL.md, mne-python/references/tutorials/find-events-backward-compatibility/find-events-backward-compatibility.md, mne-python/references/documentation/other/cookbook.rst
jspsych	behavioral data	2000	jspsych/references/documentation/guides/rt-task.md, jspsych/references/documentation/other/plugins.md, jspsych/references/documentation/other/plugin-development.md
nilearn	reproducibility	1765	nilearn/references/documentation/contributing/CONTRIBUTING.rst, nilearn/references/tutorials/fetch-atlas-aal/fetch-atlas-aal.md, nilearn/SKILL.md
mrtrix3	containerization	1712	mrtrix3/references/documentation/other/image_data.rst, mrtrix3/references/documentation/other/pe_scheme.rst, mrtrix3/references/documentation/other/image_access.md
nipype	reproducibility	1694	nipype/references/tutorials/index.md, nipype/references/tutorials/expansion/expansion.md, nipype/references/tutorials/clone-node-iterables/clone-node-iterables.md
nilearn	workflow management	1609	nilearn/SKILL.md, nilearn/references/tutorials/3d-images/3d-images.md, nilearn/references/tutorials/3x3-affine-bbox/3x3-affine-bbox.md
dipy	reproducibility	1603	dipy/references/tutorials/validate-patch-radius-and-version/validate-patch-radius-and-version.md, dipy/references/tutorials/patch2self-random-noise/patch2self-random-noise.md, dipy/references/documentation/other/installation_from_source.rst
dipy	workflow management	1468	dipy/SKILL.md, dipy/references/documentation/other/buan_flow.rst, dipy/references/documentation/other/development_workflow.rst
pymc	reproducibility	1343	pymc/references/documentation/other/using_gitpod.md, pymc/SKILL.md, pymc/references/tutorials/index.md
pymc	workflow management	1273	pymc/SKILL.md, pymc/references/tutorials/censored-workflow/censored-workflow.md, pymc/references/tutorials/index.md
nilearn	registration	1078	nilearn/references/tutorials/index.md, nilearn/references/tutorials/resample-stat-map/resample-stat-map.md, nilearn/references/tutorials/nifti-labels-masker-resampling-to-clipped-labels/nifti-labels-masker-resampling-to-clipped-labels.md
